PlayerCard1,PlayerCard2,FlopCard1,FlopCard2,FlopCard3,EquityPercent
Js.png,7d.png,4c.png,Kh.png,7s.png,22.8
6s.png,Ts.png,4d.png,9h.png,Kh.png,5.07
Ah.png,Ac.png,6h.png,3h.png,5s.png,33.27
7s.png,Qh.png,Qs.png,Ad.png,6s.png,28.3
7h.png,Qs.png,2s.png,7d.png,7s.png,79.1
Kd.png,7c.png,5c.png,2s.png,7d.png,29.7
Kh.png,Qs.png,9s.png,6d.png,8d.png,7.83
9d.png,3h.png,6d.png,2h.png,4c.png,12.57
2d.png,3s.png,4d.png,Qd.png,5c.png,21.03
4d.png,Td.png,3c.png,8s.png,5h.png,8
Ah.png,7h.png,5c.png,6c.png,Qc.png,4
2h.png,Td.png,Ac.png,7s.png,Ad.png,4.23
Qh.png,Jd.png,Qs.png,8s.png,As.png,16.53
8c.png,Ah.png,2s.png,9h.png,9d.png,11.1
2d.png,9d.png,8s.png,2c.png,9s.png,48.37
Td.png,2s.png,Tc.png,Qs.png,6s.png,22.2
Jh.png,8h.png,Td.png,Qd.png,Qc.png,13.37
2c.png,2s.png,5c.png,Td.png,5h.png,12.47
Jd.png,8c.png,2d.png,Ah.png,Kc.png,2.92
3s.png,9d.png,Kd.png,9s.png,5h.png,21.1
Js.png,8c.png,2d.png,2h.png,Jc.png,32.23
7s.png,2h.png,4c.png,Jh.png,3c.png,3.67
6c.png,8s.png,8h.png,4d.png,7h.png,25.83
Qh.png,Kd.png,6d.png,6c.png,Ts.png,13.5
Jh.png,6s.png,9c.png,7c.png,Qs.png,4.2
Qc.png,4s.png,Kh.png,Js.png,5h.png,3.47
6h.png,Tc.png,Qs.png,6c.png,9c.png,18.38
2d.png,Ks.png,4c.png,9c.png,7c.png,3.2
3s.png,As.png,Ts.png,2s.png,Ad.png,64.3
Kd.png,6s.png,Ac.png,As.png,2h.png,6.82
6h.png,3c.png,3s.png,5c.png,6d.png,36.87
Ah.png,4h.png,8d.png,Ac.png,8s.png,39.03
8c.png,Kc.png,Ad.png,Jc.png,3d.png,5.87
7h.png,6d.png,2h.png,Ts.png,As.png,5
Qs.png,Js.png,8s.png,2d.png,2c.png,14.7
Kd.png,5d.png,Th.png,8h.png,Jc.png,4.67
Th.png,Ah.png,9c.png,Qs.png,Td.png,19.63
3d.png,8d.png,2d.png,Qd.png,Qs.png,24.33
8h.png,As.png,8d.png,4s.png,Qh.png,30.6
3h.png,2d.png,Js.png,4s.png,8h.png,4.5
3s.png,8d.png,Qc.png,Ts.png,6c.png,2.27
6d.png,Ts.png,7d.png,Qd.png,2d.png,10.07
3c.png,6d.png,2s.png,Ad.png,7s.png,1.57
Js.png,8c.png,Th.png,3s.png,As.png,10.23
2h.png,Qh.png,5s.png,6c.png,4c.png,4.67
6s.png,7s.png,9d.png,5h.png,Qh.png,14.17
9h.png,As.png,3c.png,Js.png,Qs.png,13.67
3d.png,Qd.png,7d.png,Js.png,2h.png,9.9
2s.png,Th.png,Jh.png,8d.png,Tc.png,15.4
Kd.png,6h.png,Ts.png,Qc.png,7s.png,7.13
5d.png,9h.png,6c.png,Jd.png,Kc.png,2.57
3c.png,Qh.png,Kd.png,Ac.png,9h.png,3.5
7s.png,2d.png,Kc.png,7h.png,Jh.png,14.27
7c.png,Qc.png,Ts.png,4h.png,6c.png,13.17
Th.png,4h.png,Ts.png,Tc.png,9h.png,69
Td.png,3s.png,9c.png,2c.png,8d.png,6.2
3c.png,7c.png,4h.png,Js.png,8h.png,1.67
5s.png,3s.png,9s.png,9d.png,4h.png,9.17
Kc.png,8c.png,Jd.png,9c.png,3c.png,34.67
2d.png,6h.png,5h.png,Kd.png,9s.png,3.9
2h.png,3d.png,Kc.png,7h.png,Ah.png,2.6
8c.png,3s.png,5d.png,9d.png,Tc.png,2.17
